name;chrom;pos
IWB1371;8;77.4208
IWB1374;8;64.6636
IWB1388;7;106.6018
IWB1390;7;172.4422
IWB1396;4;4.9893
IWB1406;7;14.5322
IWB1429;12;77.1116
IWB1433;6;72.0802
IWB1438;14;3.5282
IWB1442;6;61.2588
IWB1448;10;63.3418
IWB1489;15;91.5308
IWB1546;12;131.9156
IWB1549;12;131.02
IWB1549;13;69.8317
IWB1550;6;1.4374
IWB1562;1;87.4147
IWB1583;10;38.2313
IWB1614;13;61.8695
IWB1633;19;114.3634
IWB1645;13;68.2604
IWB1659;12;72.7651
IWB1666;14;22.189
IWB1671;7;109.6015
IWB1704;3;1.9324
IWB1725;8;79.1153
IWB1728;1;85.2135
IWB1737;5;137.1888
IWB1747;13;105.7372
IWB1748;9;65.6159
IWB1757;10;36.2156
IWB1762;12;96.0506
IWB1766;10;139.0502
IWB1793;7;105.8704
IWB1808;10;38.7258
IWB1816;7;109.6015
IWB1821;10;95.6601
IWB1827;10;104.6156
IWB1849;7;91.8045
IWB1857;6;44.1677
IWB1874;7;185.6389
IWB1883;14;93.3795
IWB1891;7;30.5962
IWB1915;7;176.0196
IWB1925;10;23.0318
IWB1926;6;96.2361
IWB1933;14;108.0156
IWB1968;12;169.7853
IWB1984;2;38.1362
IWB1996;2;23.0834
IWB1998;11;45.5401
IWB2013;7;118.6802
IWB2022;17;88.3422
IWB2045;3;70.5578
IWB2049;12;164.0708
IWB2052;9;138.1511
IWB2096;13;107.3764
IWB2134;11;48.3637
IWB2149;12;58.6656
IWB2166;14;80.0396
IWB2169;10;32.2261
IWB2175;15;41.2935
IWB2181;9;270.4606
IWB2188;8;8.152
IWB2201;13;68.2113
IWB2233;2;59.7254
IWB2234;2;59.7254
IWB2242;12;41.5507
IWB2250;17;101.7636
IWB2271;10;109.5186
IWB2350;3;76.3929
IWB2380;9;88.4915
IWB2384;14;43.1804
IWB2418;6;59.2046
IWB2427;9;71.9171
IWB2430;2;107.0381
IWB2481;10;47.2706
IWB2539;7;168.621
IWB2567;14;49.714
IWB2581;10;86.2689
IWB2592;9;206.3657
IWB2593;9;206.3657
IWB2612;15;91.5308
IWB2613;13;71.6069
IWB2621;10;114.0948
IWB2628;9;236.2608
IWB2651;19;109.0814
IWB2658;4;72.0006
IWB2673;8;109.7132
IWB2679;9;171.8491
IWB2704;3;76.1529
IWB2706;7;76.138
IWB2708;2;83.5217
IWB2723;12;105.935
IWB2727;20;78.3277
IWB2737;13;56.7024
IWB2743;20;72.5086
IWB2746;13;94.2547
IWB2766;10;68.8399
IWB2769;3;60.0054
IWB2774;10;116.2237
IWB2777;14;58.9155
IWB2794;14;49.9072
IWB2796;2;41.4942
IWB2816;12;41.7068
IWB2817;6;40.095
IWB2818;16;21.7142
IWB2835;20;86.2844
IWB2860;14;13.4157
IWB2877;9;135.0665
IWB2886;6;23.2536
IWB2890;10;128.5191
IWB2900;3;37.0187
IWB2902;1;101.6118
IWB2943;9;203.6245
IWB2961;2;71.6526
IWB2969;12;144.039
IWB2984;9;149.75
IWB2984;16;60.9627
IWB2987;16;60.9627
IWB2989;9;149.75
IWB2989;16;60.9627
IWB2990;2;56.0665
IWB3002;9;93.6835
IWB3005;1;56.1882
IWB3021;15;91.5308
IWB3025;10;9.0895
IWB3026;10;9.0895
IWB3050;14;18.7176
IWB3067;8;51.976
IWB3100;10;99.8256
IWB3107;10;108.2321
IWB3110;10;103.6266
IWB3117;11;47.1849
IWB3120;10;93.1373
IWB3122;21;27.7465
IWB3130;6;116.1613
IWB3131;5;127.6457
IWB3132;5;135.5125
IWB3139;10;104.67
IWB3160;1;87.4147
IWB3178;9;67.2691
IWB3179;5;8.2058
IWB3192;9;181.3247
IWB3210;3;76.1529
IWB3216;2;112.3918
IWB3219;13;63.996
IWB3232;5;163.7903
IWB3233;8;16.7032
IWB3246;11;74.2864
IWB3249;9;236.2608
IWB3260;8;61.2236
IWB3270;2;56.0665
IWB3274;14;44.1544
IWB3282;13;3.7318
IWB3287;3;68.4107
IWB3298;5;61.7101
IWB3312;14;103.3769
IWB3320;3;84.7982
IWB3327;12;165.5251
IWB3343;7;117.2333
IWB3369;14;3.5282
IWB3373;8;91.7333
IWB3379;14;40.5996
IWB3394;11;26.1419
IWB3402;14;14.022
IWB3405;8;108.8775
IWB3413;1;122.2995
IWB3419;1;23.1402
IWB3423;10;42.5729
IWB3431;13;66.0206
IWB3440;2;109.7783
IWB3443;15;91.5308
IWB3454;9;103.5499
IWB3471;10;68.7854
IWB3483;12;111.2717
IWB3507;1;32.6169
IWB3515;1;32.4066
IWB3519;1;16.5316
IWB3531;14;33.7326
IWB3535;7;99.6324
IWB3553;13;117.3141
IWB3556;16;21.7142
IWB3560;12;58.3945
IWB3561;12;58.3945
IWB3566;6;88.4475
IWB3567;11;79.0071
IWB3572;4;142.8692
IWB3581;14;87.3879
IWB3588;9;199.1825
IWB3592;2;48.0095
IWB3593;12;77.1116
IWB3605;9;70.6812
IWB3609;7;73.0164
IWB3615;12;76.1791
IWB3623;13;56.7024
IWB3681;3;74.5363
IWB3692;6;56.4317
IWB3720;9;62.262
IWB3722;6;31.6743
IWB3723;10;75.4737
IWB3746;2;109.8522
IWB3749;9;226.8433
IWB3750;9;226.8433
IWB3767;7;72.7673
IWB3769;17;85.281
IWB3798;3;106.0736
IWB3826;13;43.8601
IWB3828;15;42.7333
IWB3829;15;42.7333
IWB3848;5;98.3382
IWB3850;3;15.2444
IWB3946;11;40.3862
IWB3969;2;133.6695
IWB3969;16;97.4005
IWB4009;9;122.0733
IWB4076;16;28.0202
IWB4139;19;20.4067
IWB4181;6;5.7598
IWB4190;5;142.4187
IWB4196;9;111.0871
IWB4201;1;121.2477
IWB4203;12;76.1791
IWB4206;12;76.1791
IWB4219;12;164.6254
IWB4220;7;171.5942
IWB4275;12;76.1791
IWB4290;5;7.691
IWB4295;9;21.3068
IWB4300;11;37.102
IWB4316;4;15.924
IWB4319;9;267.4763
IWB4320;10;107.197
IWB4336;11;12.9777
IWB4344;10;9.0895
IWB4361;19;86.2478
IWB4384;9;116.0044
IWB4408;14;41.6418
IWB4410;12;176.2517
IWB4414;7;73.0164
IWB4433;15;44.4852
IWB4440;8;8.152
IWB4443;9;160.8893
IWB4448;11;74.2864
IWB4465;15;91.5308
IWB4472;1;41.0367
IWB4490;13;57.6655
IWB4503;3;95.2875
IWB4506;4;101.8462
IWB4539;14;65.0814
IWB4543;5;173.842
IWB4546;9;120.3567
IWB4550;19;66.66
IWB4558;16;68.8254
IWB4567;14;41.998
IWB4568;5;91.3629
IWB4575;7;106.1248
IWB4600;13;33.964
IWB4602;9;175.821
IWB4611;3;74.5363
IWB4614;9;116.0044
IWB4630;1;81.6835
IWB4648;9;150.2781
IWB4649;3;53.7598
IWB4650;16;60.9627
IWB4653;10;65.6341
IWB4670;7;22.0899
IWB4684;14;39.8227
IWB4705;13;55.2066
IWB4738;5;51.0557
IWB4741;1;49.0922
IWB4760;13;0.3361
IWB4763;15;15.8946
IWB4794;14;44.1544
IWB4824;5;59.0167
IWB4829;7;171.5942
IWB4836;5;171.7576
IWB4839;8;104.1934
IWB4841;12;19.1279
IWB4848;5;31.147
IWB4865;9;236.2608
IWB4870;13;115.1838
IWB4875;12;122.746
IWB4886;9;146.3802
IWB4899;6;31.2206
IWB4904;12;77.1116
IWB4910;4;37.0514
IWB4922;20;72.5086
IWB4933;6;115.5751
IWB5027;17;85.7499
IWB5030;10;108.2321
IWB5105;14;87.3879
IWB5178;5;171.7576
IWB5184;8;34.0703
IWB5207;7;62.9413
IWB5254;16;60.9627
IWB5274;9;121.899
IWB5321;2;40.9187
IWB5323;8;8.152
IWB5325;14;46.7428
IWB5332;10;45.4099
IWB5347;15;91.5308
IWB5356;15;91.5308
IWB5360;1;55.0696
IWB5373;9;62.262
IWB5380;4;32.0383
IWB5390;12;70.8466
IWB5418;5;111.6923
IWB5419;6;95.5174
IWB5436;9;160.8893
IWB5437;6;72.0802
IWB5439;9;253.1626
IWB5440;13;34.8214
IWB5448;2;56.8163
IWB5452;12;89.2679
IWB5457;5;149.5698
IWB5492;9;180.3317
IWB5494;2;38.1362
IWB5499;2;83.5217
IWB5500;14;24.6599
IWB5515;10;86.3736
IWB5522;4;30.6019
IWB5524;21;40.8378
IWB5530;9;62.262
IWB5586;13;51.4559
IWB5590;8;25.0316
IWB5596;8;19.5443
IWB5616;14;51.8514
IWB5630;10;55.6268
IWB5634;14;39.8227
IWB5637;10;106.3337
IWB5680;3;78.559
IWB5703;5;171.9522
IWB5713;12;72.9377
IWB5738;12;102.3732
IWB5740;2;107.2545
IWB5743;2;107.6769
IWB5751;3;92.4899
IWB5768;15;37.584
IWB5770;7;32.0377
IWB5776;19;50.2504
IWB5794;3;92.4899
IWB5798;4;115.3969
IWB5806;12;43.9992
IWB5807;1;52.1143
IWB5812;7;177.0319
IWB5819;7;111.112
IWB5821;5;163.3759
IWB5822;17;85.281
IWB5825;14;52.4843
IWB5832;20;86.2844
IWB5833;15;91.5308
IWB5858;12;130.5722
IWB5874;6;121.3401
IWB5875;14;23.2728
IWB5879;7;170.0466
IWB5900;15;74.0829
IWB5932;13;56.7024
IWB5934;6;121.2535
IWB5937;3;86.8759
IWB5953;4;21.0275
IWB5957;9;209.7038
IWB5978;9;275.4519
IWB5984;6;94.1361
IWB5988;2;18.7275
IWB5991;8;8.152
IWB5995;8;8.152
IWB6001;10;83.3312
IWB6002;5;63.9766
IWB6003;12;120.8685
IWB6006;7;112.7072
IWB6012;12;42.2614
IWB6013;3;52.5789
IWB6015;11;27.7045
IWB6022;13;59.2859
IWB6023;12;108.8971
IWB6028;9;214.748
IWB6031;9;181.5993
IWB6041;12;73.0856
IWB6044;6;40.095
IWB6048;11;46.9875
IWB6050;15;91.5308
IWB6054;10;9.2613
IWB6065;2;133.6695
IWB6065;16;97.4005
IWB6068;11;19.5845
IWB6070;4;38.2452
IWB6074;5;86.7044
IWB6075;9;86.8541
IWB6077;10;103.5595
IWB6099;2;115.7445
IWB6117;9;65.6159
IWB6118;1;79.8723
IWB6119;12;13.1628
IWB6125;7;139.2649
IWB6130;9;226.8433
IWB6142;4;21.0655
IWB6150;9;160.8893
IWB6159;9;79.5335
IWB6173;6;142.876
IWB6175;16;27.213
IWB6187;3;68.4107
IWB6202;12;107.1963
IWB6203;10;108.5967
IWB6205;19;116.918
IWB6208;18;20.218
IWB6209;8;16.7032
IWB6216;13;13.4012
IWB6222;8;51.976
IWB6225;6;64.8268
IWB6238;16;21.7142
IWB6240;3;68.657
IWB6242;14;49.714
IWB6244;9;179.0059
IWB6245;12;120.3961
IWB6264;11;40.3862
IWB6286;6;96.2361
IWB6293;6;64.8268
IWB6295;14;108.0156
IWB6307;12;77.1116
IWB6319;15;91.5308
IWB6323;9;215.3712
IWB6327;6;40.095
IWB6330;9;116.0044
IWB6334;9;226.8433
IWB6335;4;13.8455
IWB6339;7;81.2948
IWB6346;12;74.7165
IWB6349;16;48.2642
IWB6358;6;19.0841
IWB6360;15;91.5308
IWB6368;8;14.9902
IWB6371;5;118.09
IWB6379;9;226.8433
IWB6381;15;91.5308
IWB6401;6;40.095
IWB6402;10;9.4708
IWB6405;8;16.7032
IWB6406;15;42.7333
IWB6414;2;102.1648
IWB6418;11;39.7338
IWB6421;15;91.5308
IWB6422;11;18.6908
IWB6431;2;113.1415
IWB6436;10;61.8415
IWB6437;6;138.4516
IWB6443;10;31.2455
IWB6447;6;65.1072
IWB6449;3;84.7982
IWB6450;7;172.4422
IWB6453;9;160.8893
IWB6457;8;14.9902
IWB6458;8;20.3335
IWB6474;13;117.3141
IWB6485;10;80.1002
IWB6488;8;110.3074
IWB6490;6;142.876
IWB6498;19;116.918
IWB6500;15;91.5308
IWB6508;2;133.6695
IWB6508;16;97.4005
IWB6509;6;43.0769
IWB6511;6;81.5764
IWB6517;1;82.0324
IWB6519;8;21.2945
IWB6523;19;114.7241
IWB6524;9;146.021
IWB6546;6;61.2588
IWB6579;15;52.9964
IWB6586;3;54.9723
IWB6609;12;140.7031
IWB6610;12;15.8372
IWB6622;5;79.8295
IWB6631;9;161.5337
IWB6632;1;47.7017
IWB6638;6;114.1326
IWB6659;12;158.993
IWB6660;10;22.0763
IWB6675;7;182.0721
IWB6682;7;80.7913
IWB6690;7;139.2649
IWB6694;13;81.1631
IWB6696;5;41.7888
IWB6709;8;58.6796
IWB6723;15;69.8486
IWB6727;2;12.492
IWB6733;1;57.3067
IWB6735;4;0.5327
IWB6737;16;38.7296
IWB6743;1;61.1497
IWB6745;12;121.5792
IWB6749;2;34.7307
IWB6752;6;57.7162
IWB6771;12;143.9404
IWB6774;3;76.3929
IWB6775;5;35.4602
IWB6778;8;106.1385
IWB6798;17;101.7636
IWB6800;16;21.7142
IWB6809;5;62.0868
IWB6830;12;102.3732
IWB6831;14;49.714
IWB6846;12;189.9855
IWB6849;7;84.2469
IWB6851;6;61.2588
IWB6853;5;63.9766
IWB6855;14;49.714
IWB6868;10;108.5967
IWB6871;6;26.0571
IWB6876;14;58.0363
IWB6878;7;111.112
IWB6881;14;60.1282
IWB6883;14;15.3826
IWB6894;10;46.2439
IWB6900;8;21.2945
IWB6901;11;28.346
IWB6908;12;24.1276
IWB6915;10;79.3794
IWB6917;4;19.8146
IWB6920;3;65.1774
IWB6923;7;179.1147
IWB6927;7;76.138
IWB6931;10;9.1943
IWB6942;7;155.949
IWB6945;4;32.0383
IWB6952;11;40.3862
IWB6956;9;259.654
IWB6959;5;81.0852
IWB6962;1;39.5077
IWB6965;20;88.6744
IWB6967;16;24.9861
IWB6968;17;20.7756
IWB6969;5;117.6756
IWB6987;10;40.3141
IWB6989;8;65.3739
IWB6993;3;120.8507
IWB6995;1;84.1001
IWB6998;19;89.0128
IWB7010;9;209.931
IWB7014;5;174.4008
IWB7022;1;56.5165
IWB7033;2;26.473
IWB7039;1;3.9148
IWB7042;11;39.7338
IWB7044;11;68.8255
IWB7045;3;123.4967
IWB7055;10;0.5154
IWB7057;4;96.1482
IWB7058;1;83.8179
IWB7059;8;103.8034
IWB7065;2;106.8638
IWB7066;8;65.151
IWB7072;9;77.0088
IWB7073;3;124.343
IWB7092;21;9.5235
IWB7097;3;121.5075
IWB7100;11;59.9927
IWB7107;13;85.6352
IWB7112;2;18.7275
IWB7120;5;61.7855
IWB7122;8;8.152
IWB7127;10;104.67
IWB7132;12;76.1791
IWB7142;11;23.0058
IWB7143;19;88.8324
IWB7146;7;120.2596
IWB7151;8;47.9371
IWB7155;14;8.7922
IWB7163;8;20.3335
IWB7177;21;76.2163
IWB7178;10;100.0184
IWB7194;12;43.9992
IWB7195;11;34.2181
IWB7196;15;91.5308
IWB7198;9;91.6289
IWB7202;2;75.1848
IWB7206;12;119.5046
IWB7212;19;84.2642
IWB7213;12;127.0514
IWB7238;7;120.2596
IWB7239;7;99.6324
IWB7242;5;148.3894
IWB7246;5;99.8701
IWB7250;15;65.3802
IWB7256;20;86.2844
IWB7257;1;77.4403
IWB7261;3;15.2444
IWB7263;9;150.7958
IWB7264;3;115.0157
IWB7265;9;146.8344
IWB7268;14;87.3879
IWB7269;7;178.8603
IWB7274;13;34.7647
IWB7275;1;105.8602
IWB7278;11;49.6576
IWB7279;13;83.0215
IWB7282;5;173.4778
IWB7290;8;58.6796
IWB7295;3;128.2962
IWB7305;3;76.3929
IWB7306;3;121.8485
IWB7308;12;163.7544
IWB7310;2;61.7476
IWB7314;8;14.9902
IWB7324;8;26.3872
IWB7331;9;110.5114
IWB7336;9;62.262
IWB7354;2;19.3558
IWB7359;12;141.3727
IWB7360;6;64.2916
IWB7361;12;58.7149
IWB7374;10;134.1262
IWB7379;11;68.9626
IWB7396;15;28.4841
IWB7408;14;101.77
IWB7410;8;56.4651
IWB7411;12;29.2301
IWB7412;10;48.4524
IWB7413;2;111.5998
IWB7417;13;85.7334
IWB7428;18;40.3889
IWB7433;9;160.8893
IWB7434;1;55.9316
IWB7436;1;4.4228
IWB7442;6;46.9864
IWB7443;8;24.8738
IWB7448;4;46.193
IWB7449;5;176.0708
IWB7453;12;48.4279
IWB7468;13;22.5948
IWB7470;1;3.7968
IWB7471;2;110.0634
IWB7473;11;64.2583
IWB7481;9;87.4193
IWB7482;3;131.3969
IWB7488;5;86.7044
IWB7500;6;59.2046
IWB7502;10;69.0033
IWB7503;7;81.6287
IWB7511;6;57.7162
IWB7519;7;107.9214
IWB7523;8;109.7132
IWB7526;6;72.0802
IWB7530;15;45.4427
IWB7543;3;124.343
IWB7547;7;116.4012
IWB7554;7;74.3149
IWB7556;12;163.3806
IWB7557;12;190.421
IWB7566;19;89.1931
IWB7568;6;40.095
IWB7570;10;60.4251
IWB7582;14;1.4401
IWB7593;12;140.3826
IWB7597;2;109.6252
IWB7606;9;265.6541
IWB7626;9;212.6775
IWB7628;1;2.3909
IWB7631;6;61.2588
IWB7632;7;138.364
IWB7641;8;114.0259
IWB7644;7;176.1521
IWB7644;14;90.6585
IWB7662;13;86.7835
IWB7667;13;17.4541
IWB7678;12;51.5132
IWB7680;13;37.7751
IWB7704;6;94.4827
IWB7709;6;56.9465
IWB7711;14;59.8895
IWB7715;9;118.3179
IWB7716;8;19.5443
IWB7719;12;158.348
IWB7732;12;155.6571
IWB7739;12;170.7877
IWB7744;12;144.914
IWB7745;12;101.7981
IWB7760;10;31.1743
IWB7766;9;145.7516
IWB7773;10;68.7854
IWB7782;10;68.7854
IWB7783;11;43.7582
IWB7785;10;73.7304
IWB7800;11;27.3098
IWB7802;3;60.0054
IWB7803;7;105.8704
IWB7810;13;103.8788
IWB7817;5;13.2473
IWB7823;2;53.7909
IWB7827;6;55.6314
IWB7828;1;32.817
IWB7836;12;180.0641
IWB7839;12;57.6879
IWB7847;14;39.8227
IWB7854;14;15.8752
IWB7856;9;166.7997
IWB7861;14;85.7697
IWB7869;8;92.0397
IWB7870;8;92.0397
IWB7873;12;149.959
IWB7874;1;57.1836
IWB7876;15;52.6417
IWB7878;11;40.3862
IWB7894;13;99.9997
IWB7895;3;52.5789
IWB7899;7;43.0191
IWB7920;17;85.6671
IWB7924;10;81.4915
IWB7933;7;163.1727
IWB7939;8;21.2945
IWB7943;1;4.2945
IWB7955;7;128.8348
IWB7957;11;79.9775
IWB7958;11;82.05
IWB7960;4;32.0383
IWB7961;9;121.0275
IWB7963;10;75.2432
IWB7965;1;79.8723
IWB7966;5;55.6327
IWB7967;5;55.6327
IWB7969;3;54.7008
IWB7980;13;86.2547
IWB7992;8;24.8738
IWB7993;7;78.364
IWB7994;7;78.364
IWB7997;7;15.4756
IWB8003;5;129.1148
IWB8006;1;114.5057
IWB8008;4;0.4946
IWB8009;9;145.4347
IWB8016;6;64.8268
IWB8018;3;120.8507
IWB8019;14;25.198
IWB8021;14;39.8227
IWB8023;8;8.152
IWB8031;9;115.5185
IWB8044;8;108.9704
IWB8045;6;72.0802
IWB8047;10;68.7854
IWB8049;6;82.759
IWB8065;2;35.1109
IWB8069;5;55.2874
IWB8070;5;172.894
IWB8077;6;20.4654
IWB8079;6;75.9287
IWB8082;11;39.7338
IWB8084;11;16.3825
IWB8085;12;135.1898
IWB8096;8;101.6911
IWB8099;9;116.0044
IWB8102;9;129.6949
IWB8103;4;57.2799
IWB8105;3;64.1796
IWB8108;11;40.3862
IWB8109;13;83.8486
IWB8110;13;83.8486
IWB8113;12;128.9864
IWB8118;10;140.1021
IWB8119;10;68.7854
IWB8121;1;87.9432
IWB8125;9;75.9366
IWB8126;9;88.9246
IWB8148;8;19.5443
IWB8151;14;64.4902
IWB8153;6;61.2588
IWB8155;4;81.3324
IWB8157;9;276.1227
IWB8161;16;27.177
IWB8162;16;27.177
IWB8167;1;79.9544
IWB8169;2;49.1447
IWB8175;2;49.7307
IWB8176;12;64.109
IWB8177;3;108.3154
IWB8184;4;97.3706
IWB8195;12;149.1373
IWB8198;11;9.4029
IWB8202;2;37.1383
IWB8212;6;89.2376
IWB8215;14;84.5456
IWB8217;11;26.9643
IWB8220;2;49.5406
IWB8221;2;49.5406
IWB8230;15;74.1964
IWB8231;7;81.8354
IWB8237;5;55.2874
IWB8242;4;16.4281
IWB8244;10;117.4096
IWB8245;8;51.3585
IWB8248;6;133.5429
IWB8249;13;56.7024
IWB8250;5;63.9201
IWB8251;7;77.7969
IWB8257;8;19.5443
IWB8258;5;142.4187
IWB8272;8;25.6259
IWB8277;6;72.0802
IWB8286;2;49.5406
IWB8287;4;37.9598
IWB8288;3;135.3311
IWB8292;5;148.2702
IWB8294;9;115.5185
IWB8295;9;146.9929
IWB8298;12;76.1791
IWB8308;6;85.6033
IWB8309;7;99.6324
IWB8312;8;51.976
IWB8330;16;38.7296
IWB8332;9;88.9246
IWB8334;9;116.0044
IWB8348;8;84.7743
IWB8350;6;73.9815
IWB8356;7;99.6324
IWB8360;13;55.1348
IWB8364;6;61.2588
IWB8365;9;39.3019
IWB8366;6;40.095
IWB8369;5;137.1888
IWB8375;16;30.1174
IWB8377;10;30.5415
IWB8392;10;53.5063
IWB8393;5;51.0557
IWB8394;3;69.5285
IWB8396;10;74.3674
IWB8397;12;45.2687
IWB8400;4;136.3435
IWB8417;6;62.9154
IWB8418;10;60.4251
IWB8421;9;182.6398
IWB8423;6;132.8395
IWB8424;13;99.0932
IWB8425;13;98.9874
IWB8430;9;226.8433
IWB8436;5;41.7888
IWB8439;16;30.0597
IWB8441;13;49.7449
IWB8445;7;78.4912
IWB8451;14;66.8512
IWB8472;7;85.2432
IWB8475;18;40.5304
IWB8477;3;57.3405
IWB8481;9;4.6585
IWB8484;3;76.3929
IWB8487;4;101.9176
IWB8488;14;49.3653
IWB8501;3;15.2444
IWB8505;12;47.216
IWB8507;8;30.0686
IWB8515;10;101.2463
IWB8516;3;48.1016
IWB8517;11;43.7582
IWB8523;3;40.2141
IWB8531;2;115.7445
IWB8532;12;115.2402
IWB8544;10;54.533
IWB8546;10;57.2653
IWB8556;14;75.147
IWB8558;12;48.0253
IWB8562;13;34.7345
IWB8576;13;62.2547
IWB8579;3;119.4425
IWB8581;12;132.1949
IWB8583;12;144.039
IWB8609;2;55.5333
IWB8611;8;19.5443
IWB8612;8;19.5443
IWB8625;14;44.1544
IWB8640;6;62.3241
IWB8644;13;58.4927
IWB8652;14;17.6829
IWB8658;3;32.1119
IWB8665;2;50.2429
IWB8668;9;58.4855
IWB8669;7;99.6324
IWB8672;14;36.446
IWB8678;8;46.7162
IWB8683;3;90.8164
IWB8684;12;46.7065
IWB8686;2;55.5333
IWB8687;5;55.2874
IWB8689;10;39.7316
IWB8696;1;2.7963
IWB8697;4;90.141
IWB8700;10;134.3986
IWB8702;1;107.9433
IWB8704;5;33.2377
IWB8705;5;33.2377
IWB8706;2;94.5618
IWB8707;2;94.5618
IWB8709;5;33.2377
IWB8711;14;69.1668
IWB8715;3;43.1758
IWB8716;10;73.7304
IWB8719;6;136.8307
IWB8728;12;140.4484
IWB8730;10;125.2168
IWB8734;10;104.67
IWB8739;15;68.1605
IWB8740;5;74.1539
IWB8746;11;40.3862
IWB8747;19;116.918
IWB8753;13;53.2614
IWB8754;9;26.1291
IWB8767;5;142.6322
IWB8772;9;94.798
IWB8773;10;20.1822
IWB8775;10;118.3232
IWB8776;1;4.2945
IWB8778;4;151.05
IWB8782;4;74.6213
IWB8785;20;74.5943
IWB8786;12;170.5577
IWB8788;10;115.5658
IWB8792;12;27.2787
IWB8794;11;10.346
IWB8816;10;114.0948
IWB8817;8;111.4308
IWB8820;13;56.7024
IWB8827;17;99.9159
IWB8829;7;99.6324
IWB8831;3;92.4899
IWB8841;7;179.1147
IWB8847;7;188.8771
IWB8858;12;13.323
IWB8861;7;77.569
IWB8870;12;158.0851
IWB8878;3;68.4107
IWB8890;11;28.346
IWB8896;7;24.6497
IWB8898;1;39.4205
IWB8901;8;37.0043
IWB8906;12;109.9406
IWB8907;2;107.6769
IWB8908;10;78.2479
IWB8912;21;60.9712
IWB8916;2;50.2429
IWB8918;1;119.9496
IWB8924;6;99.4678
IWB8925;14;36.6431
IWB8932;6;74.3026
IWB8933;7;86.3562
IWB8937;2;36.3516
IWB8939;16;21.7142
IWB8943;1;79.8723
IWB8945;11;39.7338
IWB8953;5;84.306
IWB8962;3;1.9324
IWB8962;10;12.2283
IWB8964;14;33.7326
IWB8975;5;54.1133
IWB8984;10;104.67
IWB8999;8;33.1186
IWB9003;12;76.1791
IWB9011;10;148.6049
IWB9014;13;51.3237
IWB9015;20;48.8537
IWB9019;17;102.4439
IWB9022;16;30.2831
IWB9039;3;101.4889
IWB9040;8;108.274
IWB9044;9;201.4114
IWB9055;12;48.9373
IWB9062;7;127.8066
IWB9072;16;24.8708
IWB9077;1;111.7145
IWB9077;8;109.1282
IWB9078;7;56.0197
IWB9080;7;73.3927
IWB9090;2;53.7909
IWB9091;13;49.9904
IWB9095;10;124.9109
IWB9096;13;81.1631
IWB9097;13;60.5248
IWB9106;16;20.7557
IWB9112;3;105.6063
IWB9114;16;24.8708
